ROI_2001,ROI_2002,ROI_2101,ROI_2102,ROI_2111,ROI_2112,ROI_2201,ROI_2202,ROI_2211,ROI_2212,ROI_2301,ROI_2302,ROI_2311,ROI_2312,ROI_2321,ROI_2322,ROI_2331,ROI_2332,ROI_2401,ROI_2402,ROI_2501,ROI_2502,ROI_2601,ROI_2602,ROI_2611,ROI_2612,ROI_2701,ROI_2702,ROI_3001,ROI_3002,ROI_4001,ROI_4002,ROI_4011,ROI_4012,ROI_4021,ROI_4022,ROI_4101,ROI_4102,ROI_4111,ROI_4112,ROI_4201,ROI_4202,ROI_5001,ROI_5002,ROI_5011,ROI_5012,ROI_5021,ROI_5022,ROI_5101,ROI_5102,ROI_5201,ROI_5202,ROI_5301,ROI_5302,ROI_5401,ROI_5402,ROI_6001,ROI_6002,ROI_6101,ROI_6102,ROI_6201,ROI_6202,ROI_6211,ROI_6212,ROI_6221,ROI_6222,ROI_6301,ROI_6302,ROI_6401,ROI_6402,ROI_7001,ROI_7002,ROI_7011,ROI_7012,ROI_7021,ROI_7022,ROI_7101,ROI_7102,ROI_8101,ROI_8102,ROI_8111,ROI_8112,ROI_8121,ROI_8122,ROI_8201,ROI_8202,ROI_8211,ROI_8212,ROI_8301,ROI_8302,ROI_9001,ROI_9002,ROI_9011,ROI_9012,ROI_9021,ROI_9022,ROI_9031,ROI_9032,ROI_9041,ROI_9042,ROI_9051,ROI_9052,ROI_9061,ROI_9062,ROI_9071,ROI_9072,ROI_9081,ROI_9082,ROI_9100,ROI_9110,ROI_9120,ROI_9130,ROI_9140,ROI_9150,ROI_9160,ROI_9170
893.3450689574763,891.1183754892061,905.050883770556,938.9779831707715,454.3013594427774,483.4874113947153,920.6094807838641,845.7936151512633,698.5526186106156,682.812409510378,883.7650292869506,767.7633113982185,897.2423791901734,666.0978467063866,676.0072270886815,543.7070332875027,838.0432901246853,795.0181981463764,936.6751151249326,912.2043759765625,339.4977682961358,320.2116329828898,867.4719342022576,901.8755223637536,654.7343333978304,685.8477374066364,495.67029955110496,375.88994789123535,881.8094779320483,849.2067644849236,900.4152606153112,923.6118550618489,900.761360168457,881.0370700412326,782.4681550399117,753.8923582513648,773.3952971471039,744.5436195090965,519.1691299676895,575.485390795304,706.6169336037558,706.1452913284302,789.5644442514767,788.873365519736,949.5392159631989,879.3398608826755,743.7692607651072,682.1583413060729,1013.7352768436555,876.657325140542,944.4862426109756,784.0169110480449,842.4860435793753,610.3265902458453,566.784751434415,569.5942067276632,891.3907752146727,968.4315279391077,1074.9248372483717,1129.0056092797256,930.1912256920856,1029.994947303846,834.9892479199517,965.6840565724629,927.8956203176015,898.4855363584612,984.5242386378599,928.7054958210867,957.6558186719373,960.122483058529,799.6538303134678,803.1197166442871,752.7003948666634,804.7558801163842,582.0133087600486,591.233887148575,832.6745121439949,815.1787268927483,805.2169669942652,852.1854095458984,825.1268611045633,805.0129017566449,566.5306356287002,516.0030533901851,751.2110618024145,756.3494846279691,325.7334524491254,498.446114543543,409.9454721746345,431.2428544121789,391.2674124413921,417.7641686444978,10.647307883896348,13.030091262167184,758.5475443522135,777.8998568260064,768.717888712883,767.4269612860356,765.2771929675387,762.67819304338,26.966984623258835,0.557730459118331,1.0875185905649651,2.888368839561008,44.93813227514308,41.793360873596164,111.51851612826188,248.5992023681893,723.187422318892,838.3099653764205,858.1918892060351,796.9186320244512,571.4020456052294,193.28079564738692,168.12449751478252,608.8839850590147
881.2267322382651,879.064829737249,892.430281354471,923.8948520759187,452.58478045130886,477.5621403147067,910.7044859330875,835.0191735969706,694.5565660437759,678.5398203584015,877.6334347608613,759.9938876030938,888.4870828985146,657.7342670456118,670.0488842714634,538.0848987056659,833.8681791043394,791.1151020138763,916.4318625497635,899.6619200439453,338.0560321278042,315.5364798227946,852.3284517134423,890.8358365694681,648.2379992619859,682.0378989754142,492.2111141984634,375.4731301731533,876.8301242612442,844.5868840535481,891.6033551874436,917.9459130859375,891.8460240768173,876.7422288682726,776.7932065217391,752.2710490399096,771.3722577200062,742.7148071571632,515.7298075812204,572.600560734781,704.1108711117604,704.2186880111694,781.6811870696052,787.1331022723591,941.2309836384978,874.3964154873676,740.2175739028237,678.6772589816914,1002.9689265097342,869.0005256898942,938.8075264202889,779.8721618738692,837.5198805941594,609.185056671208,565.1705940645817,568.4103744463132,880.3192963615827,954.2350039835329,1054.136833569916,1103.491453446322,920.3660897163722,1016.9825784133861,831.673775675829,958.4742476420147,924.1615862490526,894.7527086420577,970.6906857265516,920.1603045509986,939.0572704145103,943.8580534708434,786.5709679062302,796.2774438076332,750.9000078953734,803.6439312030743,581.0096033068671,593.9561737490372,829.9231508598953,814.5623275313635,794.4122872859874,849.9225834437779,818.9403383686168,801.0606671960314,560.3003851016363,512.2123324918747,748.187865552188,753.2661350479832,324.6320999257705,496.22715187761327,408.23744951654226,428.780015824094,383.9856622759411,412.2969295458123,10.075631384780907,11.838172062661982,744.9566711425781,760.9675251588983,760.0346723198891,759.3888959927797,764.0348649546694,761.3927692609195,25.8943070970877,0.570464366370881,0.9533087472703433,2.682255002479464,43.42651244893149,40.380754356863356,105.69675948118999,233.15923732168534,702.1890258789062,817.688330078125,844.7044841587143,793.1486302629302,563.8090948965036,188.43290690698643,160.72471549294212,590.623158553551
879.3080937229053,875.3542354564474,889.1589361524185,920.4884593743252,451.0292917251587,477.794550982437,908.7612150408524,833.5711069959275,694.8557849416927,677.3167935355765,876.6107319157298,759.7737548805419,886.27485826862,657.4586346969913,669.7592131216728,537.4378149456185,837.1045134485615,793.5798942337797,911.1502682039107,897.9651840820312,337.87539132436115,314.77331994374595,850.3548718084504,889.3514150021568,647.0265312993714,683.8575989440247,487.86228289525155,370.905100107193,876.477301867503,843.3708605919355,892.1196653511267,918.6225244140625,890.7404322220108,875.9938723415798,775.8192796790081,753.632911038686,767.9753427379457,739.2998141536007,513.6014937822308,569.4806309675009,701.3676525178503,700.9893431663513,778.5561577687188,782.1080255915203,940.8247249093229,873.7988588210435,735.1113303949026,674.8376321742585,1001.2264507662866,867.3306847401728,936.3169065006605,778.2398305351825,835.6504158054232,606.9783678487236,561.0837326835093,563.5511487681425,878.1565141291372,950.180137231394,1049.8643684140034,1097.4929662994327,918.0843187415081,1011.9425746707855,831.5399830669438,957.4750780176233,924.5170889327775,893.9953099957424,968.6965989016416,918.8910851405625,935.3110151351638,942.0720251936939,783.1007585267763,794.4960538520188,750.482104940152,802.81656055533,579.8560344309046,591.406278798278,826.6484497570601,811.7079422187014,792.9540470204455,846.7253265380859,817.1026152979825,800.4126978039083,559.2759695374966,511.02856310447055,747.320046318155,752.7707794933011,324.31606541801904,494.3639812194053,406.23811666853726,426.4260328815577,381.17067535355665,408.74882442912707,9.756158287783533,11.903640922649915,739.0008809407552,759.3336936821372,756.8369736671448,754.9045794042527,759.4519019672889,759.2090737638963,25.94027440252371,0.5573503748548252,0.9331316400549552,2.6714342970444704,43.17640334911538,40.520710731486,108.14797214501434,234.5539346858859,704.8400656960227,812.3809603604403,841.6195058118577,786.2469424477107,559.1458820268219,188.14905227132533,161.45017511194402,588.0249285204657
879.7205857025831,876.1092395902884,888.8811845768079,919.9169396328261,450.04835076442987,477.45918265943016,910.6816634416377,834.6286742709545,693.1875005838822,676.0961182547397,877.2634109869236,760.3680472093915,888.7033683030928,659.4178283996428,668.6614041378842,536.9330611010048,837.8926599873186,791.8286387548098,911.7175425094663,898.6736550292969,334.61007743411596,314.6289941151937,848.5819461211497,886.7033948633406,645.5634486812571,681.6148094764122,490.2607289519758,370.94154556592304,878.1245960019669,842.3695189111027,893.3237560202131,916.4823297119141,892.4859435517909,876.2819444444444,776.3762647545856,755.1656935358621,769.0856324586574,742.5012322885019,514.8497284821102,572.0881200211771,703.1421856489338,702.8168640136719,780.4732540674389,784.2452507742208,941.3739119877722,874.6997766327439,736.5197479626364,675.1845726933512,1001.1377567414314,868.3207568171437,939.3967818526535,780.3875698400456,837.007801038802,609.0270318295442,561.5133293388581,564.0668989609189,878.0436109227393,951.2971022239437,1052.9454669993588,1100.1361661127316,921.5681359332541,1015.8463002038234,833.9180977264311,960.4242759319981,926.2773467106606,895.8944518239615,971.1279948716754,921.9816213297413,936.6814207818098,943.9173718868698,784.9399122289709,795.1398828225058,752.8425338465139,802.9525982745282,580.9006462650023,592.4544849664393,825.9093489099721,810.3264433674792,790.1905179936836,846.6149368286133,816.6259689623369,798.7265011543068,556.8679371229807,509.6097340838114,747.6419413528779,752.6786570268252,322.68073190801283,495.9868663519298,406.9281274980555,427.3852014551572,378.26324111744384,407.7124346409676,9.797326353104802,11.468367160017785,741.1189147949219,757.3291967359639,756.7301607131958,755.8244538458224,759.6036063041396,756.7710880755212,24.668904229656235,0.5560773132368922,0.9240018714721618,2.7013186228690236,42.39320677159557,39.556358509566834,101.58195624417729,227.3385075979373,704.1626919833096,813.7910411487926,840.0261519259254,787.2853663963608,555.7862458322562,187.28847035504225,159.0777802033858,587.4650547422211
877.7443632736116,873.8532311940434,889.5786677801651,919.7002065970129,451.8401626853056,477.41487048060765,910.1951065258602,832.9872521518139,695.7515019786601,676.8712854229036,879.1004111437294,760.6156994774228,887.4995300921117,658.433041895932,669.4333723569242,536.9475806812494,836.1423351414396,789.7565428268077,910.4525533508067,898.1436531982422,334.7528862953186,317.24701442718504,850.9759665629564,888.0324967853606,646.5174058844282,681.621335040082,489.89478445316547,370.7014545864529,876.271601910861,843.2194777688862,893.1670396859878,918.2013083902995,891.5651714518918,877.0692152235243,776.3480391792629,752.152055855257,767.7169411276931,737.2460694489656,512.8237352796963,571.9410699851504,700.758430355885,701.7851643562317,777.6312908850729,781.7131648493039,939.2905114819413,875.064932661447,735.8557050444863,674.033411394466,1000.8066888624622,867.2125970387389,937.3993233836602,778.3801192584891,836.5498834789602,607.3491362152147,563.4272563001191,564.5149120039714,876.2732991179919,947.9495493260523,1050.4340246872048,1095.5743893163512,920.4661055324389,1014.8128738804543,833.6932697821101,960.8113988946985,925.0580036675752,893.7342094845242,968.6489963145739,919.3076734264305,932.0153796930981,939.8333891979239,781.6267970317119,795.2340730135558,751.5737148599887,802.2034897577195,578.6408257968184,591.8402727153939,827.025604623263,809.0028602948328,790.8480796002327,846.7210181100028,812.8451556794031,799.3646049367788,555.3170270729065,507.59093171596527,746.5213271355314,751.7869795190643,322.57708473205565,494.9703434830538,407.6467543694501,426.93279186470147,377.59505225295527,409.48622152131674,9.700343609222694,12.172958848858347,734.4144510904948,753.4354692879369,754.5446037650108,752.9105611947866,757.7102361392732,757.3109524174249,25.664683472980915,0.544433564927291,0.897103993586275,2.707996634611027,43.402502077563234,40.612215119394,106.07762586180534,235.11935185246608,701.4274291992188,810.2523448597301,839.8718855685036,787.9187255086778,556.9787734536563,188.3211692290936,161.81073481386358,587.1442013444572
880.613112088218,877.4007528165374,889.7844183079269,920.3032795347541,450.4467634600262,476.6269351887916,911.0029944950763,835.1907491740775,693.6397612046222,675.9044836231919,876.6838671676512,764.0197955979241,888.7189768141784,659.2352462876663,669.5982610227456,536.1234443785239,835.2401008786749,791.53634904627,912.8618104430451,898.1862287597656,335.6405341890123,316.5728582382202,849.6027588073654,887.4549510327596,643.6688168710439,680.2561581789793,490.2434386785518,370.0878585444556,878.0321412716272,843.9034818107699,894.7101434021797,920.244892578125,893.1497060484805,878.6608060709635,776.8853024690047,751.935161544616,766.2749503383552,739.4354548984104,512.4909798077175,571.0867390721925,700.9670507712442,703.4708895683289,781.6916193713745,784.3375378107007,941.3429872411872,876.429710968196,736.900974525893,674.5759724403595,1003.550276233304,868.3565687923488,938.9449368431455,780.0404905306261,836.0134065568179,606.7901371179843,562.2678966058508,562.3905605138226,880.3820173716884,951.1462927140572,1053.411417687171,1099.182733761213,921.709827509341,1017.7175801039514,834.8666706610163,962.6543541504032,925.4015525704,894.1460568898716,970.4164529521813,919.3326120602073,937.4621247698547,942.8736997151243,783.6565959346187,796.2835789664847,753.0809115488595,803.5744576061959,579.8495784151381,592.6553138410542,825.545193156258,809.095568391792,790.141282101895,846.798718043736,815.9105497045992,798.5080823424113,555.4869704826673,508.01534235715866,747.1740070400784,752.0907536331857,321.2443442849552,494.88218046525753,405.9056232397755,426.4133929637959,377.31514529900306,409.6259424319809,9.583165966775224,12.34597816700339,738.1110880533854,756.3221383822166,754.2301932573318,754.3754604563993,758.0237467137305,756.3977130432875,25.30042115233281,0.5487207856719141,0.9261723817231949,2.649746727477967,43.5423055404496,41.10067383942985,105.13118269625637,237.82420026905396,708.8827459161931,813.9899158824574,839.4936898250708,786.0545190738726,556.7949847053079,186.76617014257792,161.49542893062937,588.3270591209674
880.8862362696119,878.3908725242422,890.7187785898179,921.8477060006434,451.05898753321446,476.7926116883755,911.290443752123,836.3526350500229,695.1397427539437,677.7347685235445,878.4213099285839,762.1409174656111,888.4864750595485,659.5451065943791,669.8994735566835,536.1228148162218,836.4615491532602,790.966062552113,915.2928963730618,900.2506228027344,333.9960201581319,315.4364142100016,849.789792373927,890.1675449590834,644.050485620948,681.1934889908675,490.8716971044382,370.1236550543043,877.3426000127253,843.5553066677518,893.5694630540262,918.8508125813802,894.5480399697514,879.080090467665,780.5878354279891,753.5307716461549,767.0205381956395,740.7715442798756,514.5700746732099,575.7009627095769,698.3315592281153,701.4186372756958,783.4680729470556,786.2657655833457,944.4318463689438,877.267360575715,738.97224138985,676.6482760739493,1003.1973312870149,870.5015501095053,940.10910532496,782.7079316614199,840.3324610962461,614.9124337785385,563.749918079543,565.0279957721355,880.3035246231731,953.9333176248604,1052.9605161860488,1100.5932967023152,921.2588332201087,1019.5870685021854,833.1907400895332,962.4348671210646,925.7486075785623,895.6446138192209,970.6510743901971,919.984728413928,940.0642346424662,946.8712040179342,784.8363460506405,796.1380213753122,751.5426688937966,805.1602538798279,580.2845012277796,594.7848596707196,824.771378814197,808.8364581982624,794.0357821850066,846.6465421404157,815.915360724789,799.0944396066402,553.5339288632075,507.4118186676502,747.0538359217707,751.5644496098543,321.4477127972771,495.9929738888241,408.4001791458577,428.47988197829073,376.526266985818,406.41610347143376,9.676448036422867,11.366704404497447,738.6469970703125,759.3657961053364,755.9013994932175,755.208824192237,759.6568116437994,756.8680748228339,24.961227667104378,0.5735078779359658,0.8831280252938106,2.662200014555869,42.14563495147078,39.353969617836896,100.43632707330916,230.62298482831787,729.980546431108,814.2009687943892,842.5459328465814,786.5851309088212,555.7648328145345,186.95315515315323,157.86369519883937,589.5270326548609
878.1178128761553,874.3966675286341,888.845682096538,918.8403898482304,451.9762068282726,477.119200591264,908.5395963755003,832.6954207919506,693.5280237781758,676.6587782844168,878.4832475863822,760.2994459788005,885.2823377448944,657.8600302225183,670.1314611752235,536.428656194701,832.5516557015513,788.2459486140762,908.5379353373444,896.0023549804688,332.89531564712524,315.1768133163452,850.2132638625768,890.3201053445301,643.1267824222904,680.1642080453726,487.06641480672425,369.3927542368571,875.6196046145457,841.656941901313,890.8740045342232,919.383558959961,891.4218278012033,876.3941578504774,777.9586778723675,751.0758052963808,765.3247906521028,736.8447303771973,511.71930127484455,571.0983368377114,690.9862148097304,697.5503764152527,778.6519866812797,780.4422117838927,939.7616868404293,873.0415963513112,734.8184556665499,672.9985502583164,1001.3835453156502,868.5327580471542,937.3703150608058,778.2484583768327,835.7906673756415,609.3898265992893,561.398532022962,562.7002048648516,877.982396270986,949.0123353269365,1049.647880801372,1095.7871834073237,919.6114701511549,1015.1288427334388,832.0847787652905,960.8008746943847,924.8676803361124,895.0455027643101,968.1988249360845,917.2241501682159,936.4929807626518,942.6923170563924,781.2656266152321,793.8262113352291,750.1855825021727,803.6882947781386,579.9530962515569,590.108398867325,823.3534859829261,805.8528163799111,789.6775356860871,844.559449332101,812.3066921891838,798.0807320294459,550.3546743456523,506.9340861678123,745.8805667389857,749.887933163901,316.49296581043916,492.9960896392161,406.8213678487421,427.2012063009094,375.08362908117437,407.20012407999485,9.435531960987849,11.985799691699336,738.6092712402344,757.7733412920419,754.9890170097351,753.1847982277158,758.872615590957,756.1077545651013,25.147012093144248,0.5460637093832096,0.8668175410604879,2.643454778749895,42.36574355989112,40.003441214611534,105.52025309370623,239.41138847829666,717.6705877130681,810.4901245117187,842.4544954235922,787.7325327426572,558.3236895542519,186.92170901439692,158.69263448859707,586.3300284023943
879.3477358767386,875.855306004033,888.866330758003,918.8198735210525,448.958951852488,474.8990117705294,908.9971069440004,833.0146624820791,693.0242146472542,673.7005330695481,875.3960860337668,759.2385248040396,885.3625486187419,657.118694257157,669.178707051633,533.7091263600673,831.2214634610579,787.6140671916975,910.9660593083992,896.8073974609375,332.7226120101081,317.48763980865476,846.8296187505406,887.5387541907174,641.9385167266686,678.5533172272064,489.89195335767545,368.5520315170288,873.8973296543337,840.8584260728624,889.9492226748329,917.595747273763,890.803042524952,876.050950249566,776.2952952509341,750.4386052510824,765.179675669397,737.1313990840206,512.3589500955173,569.2987747192383,688.1997593113633,695.2749648094177,776.4458142150016,778.9379590292112,938.7117853403755,872.2283906992416,734.648794758911,674.9503296088506,1000.9842761624244,867.2622236995753,937.5765483468349,777.5578288801719,837.7088633310634,606.6892504738827,561.5050532557931,564.7437042198868,879.5085804198684,951.0739261463837,1050.72482991888,1097.658653159079,919.4002482804008,1014.0213695452052,830.0008666245581,958.7877617000062,923.6988921663655,892.2652484104615,969.0655287839054,917.8182640871518,937.4985769478379,944.1611206729109,781.486109999923,791.9453211925069,748.9092323933172,801.8821322618625,577.8604431152344,589.3356224382427,817.8552756387679,800.1136897550084,786.816169901097,839.6174370901925,811.3759916459006,795.6984293763809,549.3345880667368,506.9649873820941,744.5603666347554,748.1421000264648,321.0013309703154,493.89175757260097,406.44172587711364,426.16093028188465,376.38330369099265,412.1496134357845,9.715944647694144,12.694335841450098,738.5186604817708,758.280779305151,753.7124087810516,754.1760322950545,757.5980304397699,754.4287977521752,25.21844233852416,0.5261911549519196,0.9523243665360333,2.7250943233567733,43.56035111549529,41.159085540181046,106.36759241587586,242.51488750274567,711.8470403497869,813.053144975142,841.1129402314257,782.1892514772053,559.4462587693158,188.21156052460796,162.3989641088428,588.7430544886096
878.2258544885844,875.4848310249021,889.0167561235099,919.0351858784953,449.5019567578338,476.8076326187168,909.061301749279,833.6571723905523,693.7704558080557,675.1056606886817,873.4325011958921,757.9265747524444,885.6092044575137,657.5154670674791,668.5183726317847,533.0582810871063,829.7666424936593,786.5483798790611,909.9194207319355,896.6896678466796,332.4676701757643,314.67586930592853,846.3049670975618,887.1172026074122,640.9620876811562,678.5998426164899,489.6965246042494,368.2079193062252,873.3227610318166,839.0687338746624,887.8333292483032,916.1141837565104,890.2052987308825,875.1378101942274,775.68949664572,749.857957219503,768.5283719369494,740.0200151514124,515.7197982413428,572.2171395976892,694.8963950735624,696.7789692878723,776.3412442472246,780.114131014494,940.1393982958992,872.9225546853584,736.0281408443924,676.3858707951499,1001.2526608374811,868.9922364981643,938.9425934112824,780.9245354865399,839.9149133656591,604.6697663273297,563.2823589230304,566.9260109934206,877.0760512754141,950.8560540212525,1049.5178776322894,1097.8709589688012,917.5197149923573,1015.7018125034073,828.3413207261206,957.2870059052613,923.1507208525245,893.9066329852556,967.6116589149732,917.3012647562465,937.8030465484425,943.1478797533235,782.795571060868,792.709789276123,748.8764034586216,802.9447789047704,579.4075352765511,590.3384794853102,819.3293473290615,801.3170110298885,794.1782992748504,842.1389705113003,812.4309126462973,796.4325351016956,552.2870181353887,509.190675183932,745.227266716642,749.6039272844508,324.0990152022418,498.23342744710214,406.49390624774,426.49470082852497,373.2004166666437,408.2599680995941,9.619094333852884,11.46721510153678,740.0243225097656,757.8239663334216,756.3950031399727,758.017808180589,757.1868859210997,755.4666698148023,24.240826422327174,0.5482447284998165,0.9108445074498193,2.657916450538739,41.84751015559713,39.65834635467098,100.24360944165124,231.23104102821912,691.756797096946,812.2342595880682,840.5744405656853,781.9601896261867,556.7067904004864,186.70124810411218,159.321405154286,588.4143466291756
