,ROI_2001,ROI_2002,ROI_2101,ROI_2102,ROI_2111,ROI_2112,ROI_2201,ROI_2202,ROI_2211,ROI_2212,ROI_2301,ROI_2302,ROI_2311,ROI_2312,ROI_2321,ROI_2322,ROI_2331,ROI_2332,ROI_2401,ROI_2402,ROI_2501,ROI_2502,ROI_2601,ROI_2602,ROI_2611,ROI_2612,ROI_2701,ROI_2702,ROI_3001,ROI_3002,ROI_4001,ROI_4002,ROI_4011,ROI_4012,ROI_4021,ROI_4022,ROI_4101,ROI_4102,ROI_4111,ROI_4112,ROI_4201,ROI_4202,ROI_5001,ROI_5002,ROI_5011,ROI_5012,ROI_5021,ROI_5022,ROI_5101,ROI_5102,ROI_5201,ROI_5202,ROI_5301,ROI_5302,ROI_5401,ROI_5402,ROI_6001,ROI_6002,ROI_6101,ROI_6102,ROI_6201,ROI_6202,ROI_6211,ROI_6212,ROI_6221,ROI_6222,ROI_6301,ROI_6302,ROI_6401,ROI_6402,ROI_7001,ROI_7002,ROI_7011,ROI_7012,ROI_7021,ROI_7022,ROI_7101,ROI_7102,ROI_8101,ROI_8102,ROI_8111,ROI_8112,ROI_8121,ROI_8122,ROI_8201,ROI_8202,ROI_8211,ROI_8212,ROI_8301,ROI_8302,ROI_9001,ROI_9002,ROI_9011,ROI_9012,ROI_9021,ROI_9022,ROI_9031,ROI_9032,ROI_9041,ROI_9042,ROI_9051,ROI_9052,ROI_9061,ROI_9062,ROI_9071,ROI_9072,ROI_9081,ROI_9082,ROI_9100,ROI_9110,ROI_9120,ROI_9130,ROI_9140,ROI_9150,ROI_9160,ROI_9170
ROI_2001,1.0,0.945470353011486,0.8669115188640755,0.8321704722488219,0.4152689632004055,0.33790184081658325,0.8963909095094524,0.8627048650240376,0.7081092744985003,0.7351562836345102,0.8920109743784455,0.8735154634075978,0.8760975604566802,0.7549820158851103,0.7615511976181372,0.7660720627976987,0.8810900369530814,0.8408379634694376,0.9330477574650854,0.9217942117092651,-0.1307965285694137,-0.2895799622674665,0.7900313301611113,0.7335578639665878,0.6558243377228972,0.41554262691007504,-0.018787130367713758,-0.16865908927205564,0.8966397232182598,0.79419283008915,0.7980479993773929,0.8198768815984768,0.9303839121911449,0.9242579733823161,0.8111421417682962,0.8057931285378216,0.7894099548569081,0.7400306697130614,0.8245809892696745,0.7752655584812053,0.6847173598887498,0.42194130293582105,0.8188318476762662,0.8127183032685602,0.7982938983308687,0.8097462984483862,0.7929012844666679,0.7830527428463006,0.7959345041043361,0.7935605645218174,0.7766454717544682,0.7845067074996261,0.7721555977592005,0.6254215227210266,0.7891621412794902,0.7698983921290499,0.9581609537881867,0.9315942656193557,0.8731372280282056,0.8345919246073138,0.8833032452086306,0.7432374440833363,0.9044154908558882,0.8940644559440941,0.8150822767769269,0.8012259738378029,0.8581640493812667,0.8673088306645882,0.8670416160026843,0.8734188183272646,0.7103497949609324,0.7334930694872396,0.7923334910645484,0.812603262890202,0.7825160253394574,0.8215310444776235,0.8634674891996819,0.8909758752538515,0.7786277036074835,0.8308923834645916,0.8500882959907543,0.7976560531257084,0.6357903985456875,0.811957946368925,0.824036721662691,0.8040467463903229,0.7305864295761313,0.6924280175908436,0.779900828405019,0.7299542817906085,0.6053332858709062,0.2457510846915921,-0.08927947266094637,0.17613269389339495,0.5780888515647593,0.45290675873843833,0.6903708396538721,0.6325434341585661,0.6185248041213158,0.5961146303918154,0.5114417867397036,0.3113842103328766,0.07598792390830575,0.05154494046740547,0.273761876127554,0.4404394429316457,0.5608107971129941,0.47731452319622586,0.2669080681297041,0.659267818929217,0.5379018757071018,0.639991523673535,0.5229886070291888,0.34691875272854905,0.40245873301568946,0.19489626005433164
ROI_2002,0.945470353011486,1.0,0.8174449232149283,0.8041220666931154,0.3726425156529456,0.34570669386691877,0.8354761816816695,0.8488753691683601,0.6517228195723862,0.6774047936085883,0.8336105357093129,0.8344009472034261,0.8089461144366139,0.7672457806580852,0.7140097759583858,0.7456712989816239,0.8315061760911926,0.8485892108876857,0.8986623789393335,0.9062079223338185,-0.11847445454331688,-0.28113889494749256,0.7204806017470801,0.7230830168731787,0.5754980393359763,0.4162153322857837,-0.06500578401208569,-0.106861899017081,0.8595144994792793,0.7654208040589169,0.7849829297259575,0.8025081638388815,0.8712414124184843,0.897898916645278,0.7477684193284063,0.7533259135747458,0.700583625903511,0.6429997317682051,0.7504056911823929,0.6776007403215782,0.5871639386831633,0.3300177377168812,0.7707825567353112,0.7884650195163694,0.7780006903980848,0.7897561722135763,0.7225270185946986,0.7178345073739638,0.7490684647132542,0.7557326824635716,0.6641160405061801,0.7015013663340182,0.6633778743069791,0.5019711350457723,0.6806196753451885,0.6700517173483015,0.9416948895587333,0.9618657506914928,0.8106732851401758,0.804691662185592,0.8149508896460248,0.7085692974180723,0.8294926343596458,0.8604541290447765,0.751078022111,0.7888021054565821,0.8010105215944121,0.8127953413539749,0.8393507659316741,0.8343238746768835,0.629504445673345,0.6791807035030792,0.7299943114431999,0.765597132401362,0.7361726737657905,0.7686893561740349,0.8018307789835669,0.8393672576302609,0.7399304564256036,0.8123186672930467,0.8001551357612746,0.7852413743452367,0.5846907930109063,0.786175606459697,0.7482790548402258,0.7519679348632496,0.6745998613600248,0.6638152814675586,0.6616645543112132,0.6308930549135614,0.5583086966190814,0.23212600940051037,-0.01221335502947942,0.21504458350394806,0.5096822578188599,0.381326936353352,0.6132299077982248,0.5474474590926784,0.534359096239604,0.516387540923686,0.45283483730639285,0.21317222842851333,0.1338123313227215,0.11269290857653719,0.2662576157391439,0.4288786515643348,0.509075525654716,0.44436588587898,0.21948566234637357,0.5805211931214945,0.44769522950863483,0.5517895433541204,0.4737518159455591,0.36303643329410035,0.3981581258698317,0.14649635371484473
ROI_2101,0.8669115188640755,0.8174449232149285,1.0,0.9538836377794835,0.48260621257026376,0.2975163018863838,0.9468468372473839,0.9222058678736448,0.7737347406771284,0.7980444297486499,0.8431844602845749,0.8458163349376907,0.8823810384608087,0.7818257534747024,0.8269842743480981,0.8066560559378544,0.7593226162142545,0.7194728127549272,0.9114975571325732,0.8584491058690308,-0.019009850054438865,-0.16866607183862087,0.9189256783293872,0.850240031355141,0.8334997678380478,0.42959035292351533,0.15466231985530884,-0.20149016723961802,0.8156315312088966,0.7580041361670833,0.8748705138130817,0.8617550277907433,0.8936330304456107,0.8553366493304382,0.8124888392998288,0.8028986090388188,0.8107559317541913,0.8104160050459768,0.8212822638030888,0.7572526812957977,0.6538933394974077,0.5507260863709202,0.7751752143754879,0.7310254124953995,0.7425262935128188,0.7600090905765482,0.8020291876668235,0.7912442142743695,0.7795599849671425,0.7889431492885656,0.8088697538147989,0.8408150416678452,0.8010232646973326,0.7166170164498222,0.810820347088159,0.8084337777468299,0.7713400039997652,0.8309037353317854,0.856559193198464,0.8531411959914696,0.8175889664971377,0.7811501970516354,0.8619911162696684,0.856840584385127,0.8616501729847628,0.8445000765498958,0.888990025731056,0.8712608384526636,0.8425594858095911,0.8403190609064508,0.8250834193884536,0.8469789033420786,0.7870562689813864,0.8016518217388712,0.7381461688176292,0.7576817249437293,0.7821714351374013,0.7866028784980533,0.6903275123395576,0.7036538181296752,0.7845335681399895,0.7643668301260851,0.6843757139838531,0.7545540932743765,0.8590813514725579,0.8650079726898172,0.681942670440331,0.6960362054155864,0.8083327010151184,0.8302166055400353,0.7675312564316642,0.4853342043365845,0.05603446789183826,0.28535034792828506,0.6891177654042021,0.5570686400582306,0.8164291051628566,0.7714382563039127,0.7974535953579271,0.773012790881666,0.5611452303392915,0.35944029151198736,0.1840629297105765,0.13500389491599948,0.3705516756649708,0.4587565324754437,0.5832853516303571,0.5578115353661154,0.26751592823864767,0.7039904973923369,0.6475741985094866,0.788835946912531,0.726231499347684,0.4746820625066593,0.484150199487954,0.3619026778187685
ROI_2102,0.8321704722488218,0.8041220666931154,0.9538836377794835,0.9999999999999999,0.42030793716260123,0.276174111295242,0.9244777433545501,0.9230358650518407,0.7209955266649206,0.7711687043895706,0.8364681814302916,0.8175252563036981,0.8631541273564255,0.7537077107752248,0.7963847808684165,0.7916198664909406,0.7324359448044113,0.6912324322895482,0.903675196480976,0.8738518780808097,-0.0454281273179519,-0.20487169168883243,0.9128170409050868,0.8631933995397105,0.7715037292580544,0.38026165382579163,0.08884342229340098,-0.22337580758889738,0.8019987679995556,0.7404035708269008,0.8432958831148459,0.841151365617965,0.8649782335926127,0.8274720061978382,0.7605278556870476,0.7568877249416892,0.7755435653871189,0.7875981517266064,0.8096995721816502,0.7512543279433818,0.6465099724400318,0.5157314432639784,0.7539103363260893,0.7040619971400687,0.6971652171333905,0.7256844079456971,0.7494259667385169,0.7448494250513299,0.7483002036679242,0.7698132018006418,0.785584658120431,0.7993842868234662,0.7542232752829233,0.6854289055777694,0.767930147326627,0.7618142559069248,0.7439802675794436,0.8186488493145361,0.8426839479065711,0.8513134084572478,0.8041122033240565,0.7846556624816732,0.828072111238652,0.8221812149899212,0.8151154207567761,0.8346180103798356,0.8445290347273776,0.8364586046523164,0.8317345069299555,0.8099263395044497,0.7746146195234958,0.7750176082064352,0.7283929306003142,0.756573889794394,0.7104771830587142,0.7194489448259016,0.7467861966654881,0.7571548263406377,0.6725769091718157,0.6885883893927341,0.7623319505736057,0.7410250989426036,0.6890340157695884,0.750803230911602,0.8293473722475331,0.8395863745171996,0.6869627972858368,0.7141510017317453,0.7920252426782516,0.79562554799448,0.7034935287171228,0.41815160631749587,-0.0045351602097048185,0.24944824465571253,0.6582919832130574,0.5243630954218499,0.783189711043087,0.7196992284129774,0.7396957150874289,0.702525877291795,0.5619066043978185,0.3613467352618761,0.13831147375952194,0.09820917206889873,0.3660874721882088,0.45129673554561317,0.5814408313056754,0.5548330796162555,0.2671600206859862,0.6965852957429481,0.6119751313247767,0.737237246809621,0.645915233964322,0.42009451916917506,0.4480903769861226,0.32774968363336277
ROI_2111,0.4152689632004055,0.3726425156529456,0.4826062125702638,0.4203079371626012,1.0,0.8044140086505676,0.46916166675001136,0.34797677964788726,0.6749592312855395,0.7581374700101565,0.37622857403433463,0.3904360998934624,0.46754883175463025,0.43274505680244035,0.7102258016577853,0.603369750836505,0.3827027912050435,0.326272884085434,0.461602470386808,0.4843708175091685,0.33003540407447646,0.42325495655938206,0.5521972818845977,0.36750857824659383,0.5013710517648073,0.6959753944320203,0.7735703003522297,0.5527571474155162,0.42877556541057815,0.44829152973629627,0.5891957559910915,0.39918199413899563,0.4698678713777273,0.4784330253896012,0.4616498886360759,0.4750060383972667,0.3576131647750881,0.44395753770935453,0.36581606805314515,0.5080394249242126,0.1955250549738154,0.3060797517532407,0.43883907220226415,0.4270471581232561,0.4188818238376062,0.46067139693328074,0.4139208580985902,0.4169167373126925,0.40235541774311606,0.4468919703444638,0.38089451224580967,0.4272839282832517,0.4205171107624072,0.3617743888397022,0.3862098975792905,0.4082241825042707,0.4128266594020195,0.398204540026381,0.42807173828867656,0.33200041194805774,0.4533935726929117,0.34577456066360757,0.39381472553630376,0.4066260322768491,0.3766542291679916,0.36040821182942384,0.44810232543990064,0.46882743168657987,0.4267419906038429,0.4654373614852134,0.6124800180123955,0.48849098069231095,0.3557685453789657,0.4100007350346536,0.4666177427046172,0.3756916626080562,0.3880122153253856,0.3927691927480802,0.5235771182566027,0.47933625847726274,0.5463646423868115,0.3349869183776854,0.3529211567300149,0.17680474921615652,0.428979109237446,0.3870875822781459,0.12016245073472846,0.017777810486955283,0.5202503160225731,0.4861658046090184,0.4704074922022581,0.32977431361478177,0.259383452739493,0.2910144807436636,0.35067793100828043,0.30795956441712286,0.30941447030538366,0.30873544786705176,0.3052744853014318,0.1845147207515861,0.2837530756157694,0.05854411223552575,0.28988593328031076,0.2439444187305585,0.1804593936079872,0.26377163632715667,0.27618432270191584,0.1732567547019165,-0.04742687351530168,0.23219473735585727,0.28421812124534973,0.3776108590436426,0.3584359110784644,0.36917239482245356,0.3439089859998224,0.03926148686545605
ROI_2112,0.3379018408165832,0.34570669386691877,0.2975163018863838,0.276174111295242,0.8044140086505677,1.0,0.28866507087469195,0.19157756701976392,0.4785895236823189,0.6160411514275899,0.3264911606300382,0.23553168335845268,0.33922755106544494,0.30596687402412853,0.5357790885801552,0.46432137946006324,0.32506300536089877,0.2748294929399453,0.3400469713524107,0.42409238301746144,0.24181304407307128,0.46576754003030524,0.3923443362072431,0.2989426512434179,0.27683047314360615,0.781985141047353,0.5843077194374258,0.7185165753201317,0.36040549684598716,0.3516445305240668,0.4706208917418741,0.25919962227803683,0.3238575913656065,0.37494731889487304,0.25646715485183563,0.27530478134183256,0.0770038415870655,0.17117815821919335,0.16002762879499197,0.29747237363544493,0.007932615188050269,0.05752773590335287,0.285004638176572,0.33696443067053133,0.29280489267371573,0.35000112493388946,0.16040152032297672,0.18387176157153476,0.22564692071058565,0.33905362798910677,0.14028783531542752,0.21449434364450015,0.11962516265017864,0.039253518930394145,0.0844566617857026,0.10811335623911338,0.3718371666953712,0.3472720045170015,0.2867105730345854,0.2405917466747605,0.3149192540750509,0.2182282695498104,0.2500823099263849,0.26133956922819473,0.2224038297215489,0.2840797807443602,0.23734435612494828,0.2904217403877998,0.2999144580429626,0.3046692088323833,0.3815683174870927,0.23539116502629606,0.1704247268586589,0.26042854102301255,0.3509387437453769,0.233147440944926,0.22653457393097154,0.2595751277915392,0.3876400214845648,0.4422078877544893,0.37931095346199095,0.18180968942945894,0.1883720541715534,0.04631537826289473,0.19571958198388856,0.1581462034037849,0.050029486780434375,-0.06097509746574394,0.26268695576889994,0.1818955272401751,0.2626936760800066,0.2087021750165809,0.3548079579785762,0.3848659209393704,0.09872460119557146,0.07255594450496285,0.032690411182205614,0.06715898536744891,-0.04588346738951812,-0.15141263059658724,0.21697019728498823,-0.2145236053064151,0.4088814352957159,0.39717013084416847,0.1802520546726494,0.3115688236545934,0.20275390020326917,0.09857345980655305,-0.038909634545435945,0.035533697488548774,0.06705419344196566,0.023614983419582663,0.09477901535269435,0.34221951529131783,0.3308443518693237,-0.1693411830328008
ROI_2201,0.8963909095094525,0.8354761816816694,0.9468468372473839,0.9244777433545501,0.46916166675001136,0.28866507087469195,0.9999999999999998,0.9529804863417163,0.7992942630582374,0.832145060160475,0.8700956643363787,0.9001467539970469,0.9144667212023954,0.7928962345361587,0.81569282825662,0.7977014003883819,0.8099468928567333,0.7640722786031799,0.9391257553122029,0.8980155138639353,-0.11580877822080218,-0.2844981160491063,0.8796611609820075,0.7856764105715068,0.7619410458251729,0.35780030911462596,0.08925914083172451,-0.2510337281176018,0.8524860708598133,0.7856916963295617,0.8535051105290753,0.8478219252035919,0.9499301500734456,0.8995036876471465,0.8803652014581861,0.8786000055854957,0.8464946532817391,0.83530300360089,0.8576909189884703,0.8217630312218039,0.7085795570999478,0.5210075635402875,0.8453276727327933,0.79015801045749,0.8203513162531483,0.8339534078739687,0.867311593482949,0.8442745129436994,0.8640557540461034,0.8577877331556171,0.8821902650579865,0.8986590914124394,0.8672852760052816,0.78010399249867,0.8801552569392814,0.8768534198814109,0.8225331374593776,0.8683210665881144,0.9155812253860832,0.8838254722433833,0.9269729709575132,0.8711014308553996,0.9121627081719099,0.9081310775460212,0.8634251751978401,0.8776961006026548,0.948862725151905,0.9420495786724347,0.8705139099940994,0.8931240885012466,0.8304792890631476,0.8457841622982458,0.8259127575999341,0.8290996070306249,0.8273312308868822,0.8238904482774609,0.8541629693805658,0.8546264736715727,0.7590095737548266,0.7712667542971292,0.8529519083713593,0.8100081076243694,0.6794896157880087,0.7819495451083204,0.8787582183310773,0.8696593685299093,0.7015667737502352,0.6835229115010237,0.8667092880928973,0.8690397225605546,0.7399197178518475,0.37873671948223275,-0.07022033715000658,0.20622342828246434,0.7157478629239893,0.545256088025067,0.8166621453340082,0.7543371242616665,0.7861792485783938,0.74743478680644,0.5884974852209378,0.43050487982564767,0.08614077215267457,0.04462341939278564,0.31592072075116584,0.4407511789942891,0.6126930732303293,0.5613786782220002,0.26865925157893344,0.759488803193893,0.6591914830235555,0.7933093640258078,0.6722513427932366,0.3969111232213783,0.4555073626954487,0.31365952929916147
ROI_2202,0.8627048650240376,0.84887536916836,0.9222058678736449,0.9230358650518407,0.34797677964788726,0.19157756701976392,0.9529804863417162,1.0,0.719949437350885,0.7565723000777794,0.8345519540986989,0.9224629187965548,0.8738323871056926,0.8605631644482308,0.7457449120717514,0.7790251436559007,0.7687720429471575,0.7592180287550607,0.9099081141799102,0.8737550268045504,-0.10515431588242392,-0.333811818022445,0.8243094585097288,0.810420185990287,0.7048720758834556,0.3082499872580332,-0.01480830018089726,-0.28983745986194365,0.828027156963538,0.7627988338009646,0.819314847097654,0.8501488852996663,0.9063758807825794,0.8819726306993811,0.8252926762644489,0.8321930334726926,0.8277339284506154,0.7866178977428182,0.8268421451304048,0.75082968940851,0.667644120674746,0.48219658893096434,0.7841337063364335,0.749957684923227,0.7788137419305935,0.7871420193473431,0.8297355083621183,0.8008615250120038,0.8311993831731007,0.8197726579105096,0.8199949775871676,0.8746682933704626,0.8098297358122447,0.7210697377936169,0.8363726695376262,0.8368813425470774,0.79210752571752,0.8629503041364897,0.8838551937860808,0.8825895981449048,0.8751450938307797,0.887562515096616,0.8771704169768818,0.9035363082168258,0.8120718746461705,0.8904026976789142,0.9171905941595491,0.9066439941546082,0.8382012742145843,0.8423164868033177,0.7297668997752293,0.8157971260757885,0.7963745769958086,0.7864210506362341,0.7566668721194716,0.7703382082808916,0.8242860735111351,0.8256374930171873,0.6988553580166191,0.7276126582912361,0.7960623129456241,0.818549412764121,0.6385508304060341,0.80747558375534,0.8298026180065451,0.8591087073533011,0.6939877392986155,0.7074703175902579,0.7736066190132649,0.8111973702885699,0.7212909851976259,0.3692634355046341,-0.015173467344830735,0.1925290702178765,0.674219853960002,0.4980121086612396,0.7786936156189987,0.7091360915206639,0.7597753856272942,0.7500454785001512,0.5251805873804088,0.36047844625666353,0.10142723009562796,0.05327283716457906,0.31822303699453175,0.408631891883824,0.5583411325863448,0.5139651993200482,0.23851012636880398,0.7223103597352859,0.6047012734286984,0.7617995562009454,0.6702380261483881,0.3975667273904637,0.44145335978698635,0.31734744118879893
ROI_2211,0.7081092744985001,0.6517228195723862,0.7737347406771284,0.7209955266649206,0.6749592312855395,0.47858952368231894,0.7992942630582374,0.719949437350885,1.0,0.8846918382118066,0.7695641646492068,0.7345432085637629,0.7281839897121429,0.6818324912288962,0.8405387443453277,0.7606040843719992,0.6214432176689191,0.6138715521263355,0.7647679538659183,0.6975282085982936,-0.19842067984561365,-0.06896962964238486,0.7298901099022115,0.562386188317273,0.6593763312668894,0.37429610484854925,0.4221729669347017,-0.022325092327431535,0.6892155177279272,0.6428878779474646,0.7474034779896489,0.646996080245733,0.7829990916674936,0.6908699384248609,0.7849159996270915,0.8040060118105178,0.6707195336764985,0.7955766074824311,0.7598973981094004,0.7877753528298053,0.6923886246752795,0.5533646945110025,0.7126040553994271,0.666129399900213,0.6657804446772047,0.7081948931711657,0.7425488758609519,0.7318637399332021,0.7135322875259048,0.7358130449212639,0.8028358711430603,0.7542294837792858,0.7915461105854029,0.7031630064388599,0.7673908136754065,0.7636522461966249,0.6393001229432966,0.6574696608540644,0.7399402210603521,0.6728189339668013,0.780790459473087,0.6920574575622273,0.7494432353029326,0.7464489966228097,0.7837815099175178,0.6805574538635836,0.7849623863314902,0.7861670016951785,0.7056330910537824,0.7321560291000856,0.7120139097743753,0.7492230307625529,0.7428830848941773,0.8000206578824072,0.8191149905523324,0.7275527252359674,0.6954907169736355,0.7116338733766687,0.6604100688910641,0.6976720366209043,0.7346012969945818,0.6800327008267814,0.6885643928125964,0.6478740921597235,0.7955215644965457,0.7412439335228875,0.6652950070695347,0.5714413071904727,0.8477369562562763,0.8054824515942236,0.7180678092717964,0.42776258614311685,-0.008567887518659315,0.3100734987447247,0.6586980322038629,0.4859707272647796,0.7237008087995146,0.7273341039592974,0.6891029011698114,0.615649540453639,0.6953645088160717,0.47088624929870615,0.17918273239469187,0.15833900533144693,0.4242925493016621,0.5474385532540722,0.7303272063915304,0.5378122243827294,0.17273949146306147,0.6466033441649162,0.6531534897557116,0.6910678964325536,0.6273624480711397,0.48595997276555336,0.5324393298691993,0.33727045390363003
ROI_2212,0.7351562836345104,0.6774047936085883,0.7980444297486499,0.7711687043895705,0.7581374700101565,0.61604115142759,0.8321450601604748,0.7565723000777794,0.8846918382118067,1.0,0.7913503232171207,0.7723432882792082,0.8340464503632838,0.7401841098277195,0.9131481357304093,0.8512626802219744,0.7056195358528542,0.6558262709371674,0.8020529988200078,0.7958593461474379,-0.025329003489766716,-0.0006380308949052055,0.816955780496134,0.6486638648754016,0.7090650903723119,0.5693131751878171,0.44204501139309965,0.11286505194140804,0.7646457897406969,0.7203595427547455,0.796204583973983,0.740441083662905,0.8126902594194687,0.7739848388352448,0.7742493938910163,0.7941160347083546,0.6953075709981312,0.7685047678559067,0.7280541561198812,0.7976825146210491,0.5902171819798558,0.463399221883726,0.7024021088794985,0.657374659361171,0.6449119549633291,0.6945078242417494,0.7092919797807216,0.6860761019711238,0.6903139521847377,0.743735072462767,0.7639314972277819,0.7701003816080795,0.7538573854067074,0.6606480163880992,0.7396677391161773,0.731082533526993,0.670304066328913,0.6916584550133926,0.7724211296454665,0.7081457018556375,0.8191010975412323,0.759848164567126,0.7787551896488559,0.7642886003518821,0.7727596587595333,0.7740112393720674,0.7894780270913613,0.8039777354151955,0.7543011846089511,0.7669261908249562,0.8068674248341249,0.7747655404434763,0.7284213586994418,0.7712402734134803,0.8064707291607598,0.7329763406623958,0.7297993980255925,0.7375599347653875,0.7376581885241422,0.7447590658056632,0.7868589062582664,0.668532578395414,0.6495385260151225,0.5977635163462108,0.7911121933879012,0.7555485669632811,0.5685311068377317,0.4971693418851444,0.8333110604891941,0.7873694672942299,0.6898566306842303,0.39303236797375546,0.03582872614233144,0.30699310769186067,0.6557066442478667,0.5074629519153037,0.6616432630977347,0.649146569770536,0.6099445646789382,0.5216058076948051,0.6064471927164666,0.32066128812720857,0.19920342344406536,0.1658673828412627,0.33374715102239866,0.4765500960189147,0.5998043872816076,0.48881111247266196,0.14879630468550625,0.6164943173543934,0.5845995315784851,0.6555412713212753,0.5517927487376705,0.4483660473046051,0.5042824935186889,0.1887001590991452
